Tagname;Timestamp;Value;Quality
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;39,83214951;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;43,16624832;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;46,49881744;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;49,83291245;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;53,16548538;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;56,49958038;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;59,83214951;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;63,16624832;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;66,49881744;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;69,83291626;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;73,16548157;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;76,49958038;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;79,83215332;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;83,16624451;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;86,49881744;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;89,66658783;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;92,99916077;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;96,33325958;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;99,66582489;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;97,16639709;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;93,83230591;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;90,49973297;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;87,16563416;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;83,83306885;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;80,49897003;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;77,16639709;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:04;73,83230591;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;70,49973297;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;67,16563416;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;63,83306503;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;60,49897003;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;57,16640091;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;53,83230209;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;50,49973297;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;47,16563797;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;43,83306503;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;40,49897003;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;37,16640091;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;33,83230209;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;30,49973297;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;27,16563606;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;23,83306694;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;20,49897003;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:05;17,166399;Good
